,T,TM,Tm,SLP,H,VV,V,Vm,PM2.5
36,23.8,33.0,14.9,1010.4,64,1.9,3.9,111.95833333333331,11.1
37,22.6,33.0,18.1,1013.1,67,2.1,11.3,59.208333333333336,22.2
38,23.0,30.0,14.4,1016.1,55,2.7,6.7,77.20833333333333,14.8
39,24.6,31.7,17.9,1008.5,68,2.3,14.1,98.70833333333331,27.8
40,27.1,34.8,17.7,1009.7,52,1.6,6.1,123.70833333333331,11.1
41,26.1,34.8,17.9,1008.8,54,2.6,11.9,64.79166666666667,18.3
42,23.6,34.3,17.7,1010.4,51,2.6,15.9,52.333333333333336,22.2
43,23.2,29.6,16.7,1008.6,54,1.9,13.1,52.04166666666666,22.2
44,23.8,30.9,16.7,1009.0,52,1.6,6.5,128.33333333333334,13.0
45,24.7,31.5,17.0,1008.6,57,2.1,7.6,0.0,14.8
46,25.6,33.8,17.9,1008.7,47,2.1,4.4,23.20833333333333,13.0
47,25.7,36.0,17.8,1009.0,50,1.8,9.3,15.166666666666666,14.8
48,25.1,36.0,18.3,1009.5,56,2.7,9.1,21.25,18.3
49,29.5,37.0,18.5,1005.2,30,1.9,10.6,81.83333333333333,22.2
50,29.2,37.5,20.0,1006.1,38,2.6,5.9,105.33333333333331,14.8
51,31.1,37.8,21.7,1005.6,34,1.8,8.1,117.75,27.8
52,29.8,36.6,21.4,1007.8,37,1.9,8.1,84.5,18.3
53,28.2,36.6,21.9,1007.1,45,1.9,6.5,46.91666666666666,16.5
54,28.3,36.4,20.1,1004.0,47,1.9,6.3,104.625,14.8
55,29.3,37.9,20.3,1002.9,35,2.3,4.4,110.875,11.1
56,30.5,38.6,20.7,1003.4,36,1.9,7.6,42.958333333333336,14.8
57,28.0,38.6,23.8,1007.3,48,2.3,15.6,0.0,25.9
58,31.1,38.5,23.2,1007.7,45,1.9,3.7,120.875,7.6
59,29.9,38.5,24.3,1008.3,53,1.9,6.7,79.91666666666667,22.2
60,31.4,37.8,22.0,1006.9,38,2.3,13.7,0.0,22.2
61,31.4,39.2,22.8,1002.9,24,1.9,11.5,94.75,25.9
62,29.9,38.8,21.7,1000.8,29,1.9,12.0,142.5,24.1
63,29.7,38.3,21.6,999.3,35,1.9,10.2,133.375,22.2
64,32.8,40.8,25.3,1002.0,36,1.8,7.2,147.83333333333334,24.1
65,34.1,42.0,23.7,1001.4,29,1.9,9.3,158.29166666666666,18.3
66,34.1,42.0,26.8,1000.8,32,1.9,7.8,149.58333333333334,14.8
67,30.9,37.6,23.2,1003.7,44,1.9,3.5,101.5,11.1
68,32.9,39.8,24.7,1001.0,38,1.9,5.6,106.5,13.0
69,30.6,37.4,24.8,1000.8,47,1.9,2.2,128.125,7.6
70,36.2,44.6,25.9,999.2,29,1.9,15.0,101.95833333333331,27.8
71,36.2,44.6,29.2,999.1,32,1.9,10.6,98.41666666666669,18.3
72,36.8,45.1,28.0,999.1,26,1.9,12.0,94.375,25.9
73,37.7,45.0,30.5,998.1,32,1.9,10.0,107.625,22.2
74,36.2,43.6,29.3,998.4,32,2.3,8.1,110.41666666666669,20.6
75,35.6,42.6,30.2,999.3,41,1.9,8.1,95.83333333333331,20.6
76,33.6,40.6,24.8,998.8,47,1.9,10.6,72.25,18.3
77,31.9,40.6,26.7,1002.0,61,1.9,13.5,38.66666666666666,20.6
78,32.4,38.5,26.6,1001.0,63,2.3,13.3,45.375,22.2
79,34.1,40.3,28.8,999.7,59,1.9,10.9,65.16666666666667,16.5
80,34.1,43.2,25.7,997.9,57,1.9,7.4,66.08333333333333,14.8
81,34.2,39.8,29.1,996.7,64,1.9,13.7,77.66666666666667,18.3
82,35.1,40.2,30.2,995.2,52,1.9,8.5,70.25,14.8
83,30.3,39.2,28.8,998.6,75,1.9,10.2,56.29166666666666,22.2
84,30.4,38.6,27.8,997.7,73,1.9,8.0,77.0,22.2
85,29.8,38.6,24.6,997.9,71,2.3,12.6,32.958333333333336,16.5
86,29.7,35.5,24.8,999.0,76,1.9,4.3,80.625,14.8
87,33.0,38.4,25.3,997.6,58,1.8,4.8,90.70833333333331,13.0
88,35.6,41.0,27.3,995.5,49,1.9,7.4,97.29166666666669,18.3
89,31.0,39.4,27.8,999.2,74,1.9,11.5,50.708333333333336,18.3
90,31.2,35.7,27.2,998.4,75,1.9,6.3,40.375,14.8
91,31.2,37.1,27.6,996.8,71,1.9,8.1,49.41666666666666,20.6
92,33.9,39.2,27.8,995.2,62,1.9,8.9,61.875,14.8
93,32.8,37.6,28.4,995.8,67,1.9,9.3,0.0,18.3
94,31.6,37.6,26.9,997.5,76,1.9,6.5,29.666666666666668,11.1
95,31.1,35.0,27.9,1000.1,81,1.9,7.2,49.125,11.1
96,30.3,35.8,27.2,997.5,78,1.9,7.6,43.66666666666666,14.8
97,29.2,35.4,24.6,996.4,81,1.8,7.4,29.83333333333333,14.8
98,31.8,36.7,25.8,998.8,75,1.9,8.3,35.208333333333336,14.8
99,31.1,37.2,28.2,997.5,76,1.9,3.9,37.625,11.1
100,31.7,37.2,26.8,998.3,78,1.9,7.8,41.458333333333336,11.1
101,30.9,35.4,25.8,995.0,77,1.9,10.4,38.583333333333336,18.3
102,26.8,35.4,24.2,999.0,93,1.1,6.3,36.0,14.8
103,29.1,33.8,23.9,996.3,86,1.4,2.6,70.58333333333333,55.4
104,28.5,34.4,26.3,995.5,87,1.6,7.0,33.166666666666664,14.8
105,30.4,35.1,24.8,995.2,77,1.9,5.2,38.25,14.8
106,30.0,35.5,26.2,997.5,83,1.9,3.7,26.58333333333333,11.1
107,29.0,33.7,26.9,996.5,82,1.9,9.8,15.416666666666666,14.8
108,31.1,34.9,25.9,998.2,76,1.9,6.7,41.375,11.1
109,31.8,36.0,27.5,999.6,71,1.9,11.7,25.541666666666668,18.3
110,32.2,36.1,27.4,1000.8,69,1.9,9.3,28.375,14.8
111,28.4,30.6,25.3,1001.8,88,1.4,3.1,50.333333333333336,7.6
112,28.1,30.8,25.8,1000.6,88,1.9,8.0,35.375,18.3
113,27.4,30.8,25.4,1000.8,90,1.9,3.1,31.916666666666668,9.4
114,30.1,34.6,27.2,1000.0,79,1.9,10.2,35.291666666666664,18.3
115,29.7,34.9,26.1,1000.3,79,1.9,8.3,26.83333333333333,18.3
116,27.7,30.7,24.8,1001.8,88,1.9,7.2,21.125,14.8
117,28.4,33.1,26.0,1000.0,86,1.9,5.0,35.708333333333336,18.3
118,27.4,33.5,24.4,999.1,90,1.1,5.4,43.583333333333336,18.3
119,29.2,34.4,24.8,999.0,81,2.1,7.8,46.04166666666666,29.4
120,30.4,36.5,27.8,999.3,82,1.4,2.0,82.875,7.6
121,32.1,36.7,26.8,998.1,74,1.9,6.5,64.91666666666667,14.8
122,32.0,35.5,27.6,999.8,65,2.6,16.9,30.666666666666668,29.4
123,29.1,34.2,25.9,1003.4,76,1.9,5.6,34.416666666666664,9.4
124,30.2,35.6,25.6,1003.6,68,3.1,14.8,33.166666666666664,22.2
125,31.7,35.9,27.0,1003.6,59,2.6,14.4,30.625,22.2
126,31.6,36.3,25.9,1002.7,58,2.7,15.4,30.33333333333333,25.9
127,30.9,35.6,25.0,1004.8,58,2.3,6.9,0.0,14.8
128,29.6,34.2,25.8,1007.3,67,1.9,6.3,0.0,14.8
129,29.3,35.0,24.1,1007.6,70,1.9,4.3,0.0,11.1
130,30.6,36.0,25.8,1007.2,74,1.6,2.8,76.875,7.6
131,31.2,36.4,25.8,1004.4,69,1.9,2.0,83.45833333333333,7.6
132,31.6,36.8,25.9,1001.5,63,2.4,3.9,71.66666666666667,11.1
133,29.9,36.2,23.4,1002.5,66,1.9,1.9,69.70833333333333,7.6
134,28.7,34.1,25.2,1002.9,76,1.9,9.6,62.375,51.9
135,26.3,34.1,24.0,1003.4,87,1.9,6.1,24.875,11.1
136,28.6,35.6,25.3,1005.4,79,2.6,5.7,43.958333333333336,13.0
137,28.6,34.5,24.0,1006.7,81,1.9,3.9,41.5,9.4
138,29.0,34.2,24.3,1005.8,76,1.9,7.4,38.79166666666666,20.6
139,29.1,34.0,23.8,1007.8,72,1.9,6.5,30.33333333333333,13.0
140,28.9,34.9,25.6,1009.5,68,2.6,7.6,26.666666666666668,13.0
141,27.9,33.7,23.2,1008.4,67,2.6,10.0,29.0,14.8
142,29.4,34.5,24.3,1009.1,73,1.8,1.3,61.708333333333336,3.5
143,30.1,34.5,24.8,1010.0,72,1.8,1.5,60.54166666666666,7.6
144,30.1,35.6,24.8,1010.5,72,2.1,4.6,41.583333333333336,11.1
145,27.4,33.1,22.8,1008.0,85,1.6,0.4,80.04166666666667,3.5
146,27.5,32.5,23.0,1007.1,80,1.8,6.1,82.83333333333333,18.3
147,26.6,32.6,21.1,1008.8,76,1.6,3.3,95.25,11.1
148,25.6,33.2,19.5,1011.5,67,1.4,3.7,126.16666666666669,14.8
149,25.0,32.8,17.6,1010.8,69,1.4,1.1,136.70833333333334,5.4
150,24.8,32.3,17.3,1009.7,68,1.4,1.5,160.66666666666666,7.6
151,24.1,30.0,17.5,1011.2,74,1.0,1.5,245.66666666666663,9.4
152,24.3,31.4,18.5,1011.2,72,1.1,0.4,261.6666666666667,3.5
153,23.0,31.0,18.0,1010.6,71,0.8,2.6,272.4166666666667,9.4
154,24.1,30.1,16.7,1014.0,62,1.4,3.3,149.625,11.1
155,23.8,30.5,18.4,1013.5,71,1.6,1.3,99.70833333333331,3.5
156,22.4,28.6,16.3,1014.6,67,1.0,5.4,217.375,11.1
157,20.9,28.1,13.6,1016.0,59,0.8,6.3,309.375,18.3
158,20.1,27.1,14.0,1015.5,78,0.6,3.9,321.5416666666667,11.1
159,18.9,27.1,14.5,1015.2,80,0.6,1.3,278.0,7.6
160,19.1,25.6,12.4,1016.6,79,0.8,0.4,192.33333333333331,3.5
161,17.8,26.2,11.0,1014.3,68,1.0,3.0,224.16666666666663,11.1
162,17.6,25.6,11.2,1015.2,68,1.1,3.5,196.75,14.8
163,17.0,26.6,10.0,1016.5,70,1.1,0.9,221.54166666666663,7.6
164,17.8,26.9,11.4,1015.4,67,1.4,7.2,166.70833333333334,20.6
165,18.2,28.1,10.4,1012.6,61,1.8,2.6,130.70833333333334,11.1
166,18.0,28.5,10.2,1013.2,68,1.1,2.0,194.70833333333331,11.1
167,21.1,28.8,13.8,1012.8,57,1.6,9.4,134.45833333333334,22.2
168,21.3,28.8,15.0,1011.9,58,1.9,9.6,110.0,16.5
169,19.0,28.8,12.5,1014.7,72,1.6,2.8,160.0,9.4
170,18.1,28.0,10.0,1016.1,66,1.4,1.7,118.91666666666669,7.6
171,17.2,28.4,9.8,1015.8,73,1.1,1.9,176.375,11.1
172,17.4,28.4,9.2,1016.6,74,1.1,1.5,185.95833333333331,11.1
173,16.0,26.1,9.1,1014.4,81,1.0,1.1,239.125,5.4
174,16.2,25.3,9.5,1013.4,81,0.8,2.2,312.2083333333333,14.8
175,16.5,24.5,10.8,1012.2,74,1.6,10.2,121.33333333333331,22.2
176,15.4,24.9,8.2,1012.8,82,1.0,0.7,202.875,3.5
177,15.5,24.9,9.4,1015.1,88,0.6,2.6,260.1666666666667,7.6
178,16.3,22.4,10.8,1012.8,91,0.6,3.1,277.7083333333333,11.1
179,15.4,19.7,11.6,1016.0,93,0.6,4.4,284.1666666666667,9.4
180,14.6,15.9,12.5,1016.9,95,0.5,0.4,288.4166666666667,3.5
181,13.6,20.4,7.5,1020.7,67,1.1,10.2,166.91666666666666,40.7
182,12.3,20.6,6.2,1019.4,71,1.3,4.4,169.0,18.3
183,11.9,17.1,6.5,1018.6,84,1.1,1.1,186.04166666666663,5.4
184,14.3,19.2,10.9,1020.5,91,1.6,4.8,11.1,
185,13.2,18.2,9.2,1021.0,92,0.8,7.6,255.875,11.1
186,11.1,18.3,5.0,1020.2,80,1.1,8.0,217.08333333333331,14.8
187,12.7,19.8,5.2,1017.9,78,1.3,5.4,229.16666666666663,14.8
188,11.9,20.7,4.4,1017.9,78,0.8,1.9,264.9166666666667,7.6
189,11.7,20.7,6.5,1017.3,89,0.3,0.9,404.5,7.6
190,13.9,21.6,7.0,1019.6,74,0.8,1.1,188.5,9.4
191,14.9,22.1,8.9,1017.2,78,1.0,2.8,164.75,7.6
192,12.0,22.1,9.6,1019.7,95,0.3,0.4,376.9166666666667,3.5
193,14.5,21.0,8.6,1023.2,88,1.3,3.5,0.0,7.6
194,14.6,22.3,9.0,1021.2,86,1.0,4.4,0.0,9.4
195,13.4,22.3,11.5,1020.6,98,1.4,6.9,57.0,13.0
196,11.7,18.2,9.4,1019.9,96,0.5,8.3,202.91666666666663,11.1
197,14.3,20.3,9.9,1019.1,88,0.6,8.9,205.125,14.8
198,16.6,24.0,10.1,1018.8,75,1.3,10.0,214.125,14.8
199,14.8,21.1,10.0,1019.3,86,0.5,3.0,315.7916666666667,11.1
200,13.9,21.1,10.8,1019.8,83,0.8,2.6,322.25,7.6
201,15.3,24.4,6.8,1016.9,79,0.6,1.9,246.04166666666663,7.6
202,18.6,27.8,8.9,1014.4,65,1.3,5.6,200.91666666666663,57.6
203,19.7,26.4,15.1,1009.3,72,1.6,15.0,99.5,29.4
204,13.8,26.4,9.6,1011.3,88,1.0,8.1,143.91666666666666,14.8
205,12.7,19.5,7.0,1012.0,66,1.4,9.3,100.25,25.9
206,15.3,22.6,5.6,1013.6,67,1.6,4.8,165.0,11.1
207,13.1,22.6,11.0,1011.8,97,1.1,5.4,116.45833333333331,11.1
208,12.6,17.7,9.2,1012.6,91,0.6,3.9,143.0,7.6
209,15.1,23.3,7.1,1016.7,77,0.8,1.9,231.125,7.6
210,16.1,24.5,8.2,1014.8,80,0.6,1.9,218.66666666666663,9.4
211,17.2,24.6,9.0,1014.2,75,1.4,8.9,211.0,14.8
212,17.9,25.2,10.3,1017.4,70,1.1,0.9,52.208333333333336,7.6
213,18.9,26.2,12.5,1014.4,72,1.3,2.4,187.5,9.4
214,18.6,25.3,13.0,1013.3,80,1.1,7.2,130.16666666666666,22.2
215,16.3,21.3,12.0,1015.1,90,1.1,4.3,123.125,13.0
216,16.1,21.8,10.0,1017.1,82,1.3,5.7,120.91666666666669,11.1
217,17.8,25.7,10.5,1016.3,67,2.1,3.7,153.625,11.1
218,18.4,25.9,11.0,1017.0,65,2.3,6.7,130.33333333333334,14.8
219,19.8,27.1,12.8,1017.2,66,2.6,9.8,110.70833333333331,24.1
220,22.3,29.0,14.0,1014.6,61,2.3,5.0,138.5,13.0
221,18.9,27.1,12.8,1016.1,65,2.6,9.8,75.75,18.3
222,19.7,27.6,12.0,1015.2,66,1.9,5.7,146.54166666666666,13.0
223,21.4,29.7,12.6,1016.4,65,1.4,2.8,116.625,9.4
224,21.7,28.4,16.2,1013.1,61,2.3,10.2,80.04166666666667,22.2
225,21.5,29.2,15.0,1010.8,59,2.6,7.4,100.04166666666669,18.3
226,22.4,32.5,14.5,1007.2,68,2.1,5.4,109.45833333333331,11.1
227,24.6,32.7,16.5,1010.6,64,1.8,2.8,110.16666666666669,11.1
228,25.2,32.7,19.1,1010.7,64,1.9,2.8,108.20833333333331,11.1
229,23.4,29.1,19.6,1011.7,69,1.9,4.8,103.83333333333331,9.4
230,24.2,30.8,17.0,1008.2,48,1.9,13.1,74.29166666666667,22.2
231,24.9,33.2,16.8,1006.2,49,2.6,9.6,101.79166666666669,25.9
232,26.8,35.2,17.7,1005.7,50,1.9,7.2,106.16666666666669,14.8
233,25.1,35.2,18.0,1010.4,53,2.1,10.4,89.875,25.9
234,27.2,38.0,21.0,1009.7,55,1.9,13.0,48.208333333333336,18.3
235,25.8,32.2,19.5,1010.3,49,2.6,12.6,47.04166666666666,18.3
236,25.7,32.8,17.5,1010.3,41,2.6,12.8,67.79166666666667,25.9
237,27.0,37.2,22.6,1009.8,49,1.9,15.6,56.66666666666666,27.8
238,27.7,34.5,21.5,1010.6,55,1.9,5.2,79.0,13.0
239,29.1,36.5,20.5,1009.2,53,1.8,2.6,123.58333333333331,11.1
240,25.6,32.3,20.0,1011.4,64,1.9,5.0,80.29166666666667,14.8
241,26.8,33.6,19.2,1010.5,53,1.6,4.6,137.875,11.1
242,28.1,35.8,18.6,1010.0,40,1.9,8.7,87.875,16.5
243,30.5,38.8,20.6,1006.0,41,2.4,8.1,121.20833333333331,22.2
244,31.5,38.8,22.1,1006.2,39,2.4,8.1,97.04166666666669,16.5
245,30.6,38.7,21.5,1007.0,36,1.9,8.3,92.08333333333331,18.3
246,34.8,42.8,24.2,1001.7,30,2.3,9.6,130.625,18.3
247,34.5,41.7,26.2,1001.8,33,1.9,6.5,90.5,11.1
248,31.8,41.7,26.2,1003.7,43,1.9,7.4,55.41666666666666,18.3
249,31.8,38.6,24.2,1004.3,54,1.9,1.9,108.33333333333331,7.6
250,32.2,39.5,25.2,1002.1,45,1.6,9.3,198.875,16.5
251,30.7,39.5,21.4,1000.5,43,1.6,6.5,120.70833333333331,14.8
252,25.2,30.6,18.0,1008.2,71,2.6,10.0,60.54166666666666,20.6
253,26.9,32.1,19.0,1006.6,62,1.8,8.5,79.0,18.3
254,29.7,35.4,23.0,1004.1,48,1.8,11.1,133.70833333333334,16.5
255,32.3,39.1,24.0,1006.6,36,2.3,11.7,53.25,24.1
256,31.9,38.8,26.5,1006.0,39,2.3,8.7,65.16666666666667,22.2
257,32.8,38.6,24.8,1002.3,40,1.9,9.6,83.58333333333333,18.3
258,32.4,40.6,23.2,1005.2,45,2.7,8.9,40.66666666666666,14.8
259,30.0,36.4,21.4,1007.2,60,2.6,4.1,48.125,14.8
260,31.8,38.8,24.0,1004.8,54,1.9,2.6,103.16666666666669,7.6
261,34.6,42.8,25.0,999.6,46,1.8,6.3,143.375,18.3
262,32.9,41.6,25.6,1003.0,44,2.9,17.4,44.79166666666666,55.4
263,32.8,39.9,25.0,1003.3,48,2.6,4.6,71.95833333333333,14.8
264,34.8,41.7,26.5,1000.0,40,2.6,6.5,17.5,14.8
265,38.5,44.9,30.8,994.0,31,1.9,13.1,101.0,29.4
266,37.8,45.1,28.6,993.3,34,1.9,6.7,76.20833333333333,18.3
267,37.9,45.5,30.1,993.1,38,1.9,5.9,84.33333333333333,16.5
268,30.3,41.1,22.7,997.7,62,2.6,16.7,48.833333333333336,29.4
269,30.5,37.1,25.5,997.3,73,2.6,6.5,64.45833333333333,22.2
270,33.9,40.6,28.0,997.0,59,2.1,8.1,80.54166666666667,25.9
271,35.6,41.4,28.4,993.2,55,1.9,10.9,65.41666666666667,18.3
272,37.9,43.0,31.0,991.5,44,2.3,17.8,54.66666666666666,25.9
273,36.9,41.7,32.7,994.0,49,1.9,9.8,78.54166666666667,24.1
274,33.3,39.0,25.3,997.7,56,1.9,9.8,49.125,16.5
275,32.4,38.1,23.5,1000.8,66,1.9,3.3,65.875,7.6
276,34.7,39.9,28.8,1001.5,55,1.9,9.4,72.41666666666667,22.2
277,31.2,35.2,27.0,1000.9,71,1.9,6.3,184.66666666666663,11.1
278,29.5,36.6,25.5,1000.9,76,1.8,5.7,113.33333333333331,14.8
279,28.9,36.6,26.1,998.4,80,1.9,5.2,146.20833333333334,14.8
280,34.0,38.8,26.8,998.1,55,1.9,5.6,112.29166666666669,14.8
281,34.9,40.3,28.6,996.8,48,1.9,9.6,60.625,25.9
282,35.9,40.5,29.6,996.3,46,1.9,13.7,71.0,27.8
283,33.3,42.3,29.2,997.8,69,1.9,5.2,153.41666666666666,9.4
284,32.4,40.2,25.9,997.2,74,1.9,6.7,134.95833333333334,14.8
285,33.2,39.0,28.5,996.2,68,1.9,8.9,81.125,11.1
286,29.8,33.6,25.4,995.1,76,1.9,6.3,52.25,18.3
287,30.8,34.6,26.5,996.6,74,1.9,6.3,160.375,14.8
288,32.1,35.8,27.2,996.1,71,1.9,4.6,99.375,9.4
289,30.7,33.9,26.5,1000.8,70,1.9,10.0,31.45833333333333,14.8
290,32.5,37.5,27.6,1001.9,67,1.9,7.2,47.375,18.3
291,31.7,37.5,28.1,1002.1,71,1.9,2.4,38.16666666666666,33.5
292,32.5,36.5,28.2,999.9,71,1.9,7.8,35.958333333333336,16.5
293,33.3,37.7,28.1,998.0,66,1.9,6.5,25.08333333333333,9.4
294,30.3,35.3,28.4,996.9,81,1.9,0.9,45.833333333333336,7.6
295,31.4,36.6,27.0,995.3,72,1.9,5.7,33.708333333333336,13.0
296,31.0,34.0,29.0,996.8,71,1.9,5.6,26.416666666666668,16.5
297,30.9,35.0,27.6,998.4,73,1.9,5.9,30.666666666666668,14.8
298,30.9,35.4,27.0,1000.3,75,1.9,4.8,29.95833333333333,16.5
299,32.0,36.6,27.0,998.1,63,2.3,20.7,23.875,27.8
300,30.5,36.2,25.4,997.3,65,2.3,18.5,22.33333333333333,29.4
301,31.2,35.7,27.6,999.0,62,1.9,14.6,25.08333333333333,27.8
302,33.0,37.0,27.0,1004.8,59,1.9,6.9,66.79166666666667,16.5
303,33.3,38.4,28.0,1002.5,54,1.9,8.9,64.875,18.3
304,32.6,38.4,28.0,1001.3,51,1.9,10.9,47.583333333333336,27.8
305,33.7,39.1,27.5,1002.6,53,2.7,7.8,33.5,16.5
306,34.1,39.4,29.0,1001.5,49,3.1,10.0,43.04166666666666,18.3
307,34.1,39.4,27.5,1001.1,53,2.9,8.0,38.41666666666666,20.6
308,27.5,34.8,25.0,1001.0,89,1.9,4.3,49.29166666666666,16.5
309,29.5,35.3,24.6,1001.1,71,2.3,10.9,19.541666666666668,48.2
310,29.4,35.3,26.3,1001.7,76,2.6,10.4,22.83333333333333,20.6
311,28.5,33.2,26.0,1001.3,82,1.9,15.0,24.291666666666668,25.9
312,30.9,34.7,25.7,1003.5,73,1.9,1.3,74.66666666666667,5.4
313,31.2,36.0,26.4,1003.3,72,1.9,3.5,41.875,13.0
314,30.8,36.0,26.8,1002.5,76,1.9,1.9,50.583333333333336,11.1
315,29.3,34.1,23.5,1004.1,73,1.8,4.3,58.125,11.1
316,29.0,34.8,24.6,1004.3,71,1.9,6.7,57.29166666666666,14.8
317,29.8,34.9,22.5,1004.2,68,2.6,6.7,38.25,18.3
318,31.0,36.3,25.3,1003.5,62,3.1,4.3,47.41666666666666,14.8
319,31.0,36.3,26.0,1002.8,61,2.3,4.4,56.91666666666666,11.1
320,30.4,36.2,25.2,1003.6,61,2.6,5.6,54.625,14.8
321,30.0,35.8,24.2,1007.7,58,2.6,9.6,45.958333333333336,18.3
322,30.1,35.7,24.0,1008.1,57,2.4,5.7,52.25,16.5
323,30.7,36.3,25.4,1009.2,54,3.1,8.9,43.333333333333336,16.5
324,31.0,36.9,24.3,1010.1,54,3.1,3.1,41.958333333333336,11.1
325,30.3,36.9,24.6,1009.1,58,2.6,2.8,0.0,9.4
326,30.7,37.0,24.4,1008.1,57,2.7,2.0,0.0,14.8
327,30.9,37.2,24.5,1008.3,65,1.6,1.1,45.75,5.4
328,29.6,35.2,24.9,1009.9,59,1.9,3.0,70.70833333333333,20.6
329,27.6,34.6,22.2,1010.0,56,2.3,3.3,51.79166666666666,11.1
330,27.6,34.5,18.6,1009.8,66,1.8,8.7,0.0,14.8
331,24.4,33.6,21.4,1011.0,75,1.9,5.4,11.583333333333334,14.8
332,24.5,30.4,19.6,1014.8,73,2.1,3.1,13.0,7.6
333,23.8,31.5,16.5,1012.5,61,1.4,4.3,156.25,11.1
334,24.7,32.3,16.6,1013.3,60,1.8,4.4,156.0,14.8
335,25.4,33.3,18.0,1014.5,60,1.4,2.0,151.79166666666666,5.4
336,25.4,33.1,18.6,1012.3,71,1.0,0.9,252.625,3.5
337,25.1,32.3,19.4,1014.9,69,1.4,2.0,119.41666666666669,9.4
338,24.9,32.6,19.5,1013.7,67,1.4,1.9,126.0,9.4
339,23.2,32.1,16.0,1013.7,62,1.0,3.7,232.33333333333331,11.1
340,22.5,29.3,16.6,1014.0,57,1.3,5.4,215.54166666666663,11.1
341,22.7,31.1,15.8,1014.5,54,1.4,7.2,239.41666666666663,20.6
342,23.4,31.2,15.0,1013.4,58,1.1,4.1,196.54166666666663,14.8
343,23.9,31.7,16.6,1012.9,69,1.0,2.4,232.54166666666663,11.1
344,24.0,32.1,17.1,1014.6,69,1.3,1.7,185.5,9.4
345,24.2,31.6,17.2,1015.3,62,1.1,4.3,282.1666666666667,11.1
346,18.5,27.6,11.7,1016.6,56,1.3,3.3,257.6666666666667,11.1
347,18.3,27.6,9.0,1016.4,48,1.3,7.4,166.875,22.2
348,18.6,27.5,10.6,1014.8,51,1.3,2.8,135.16666666666666,11.1
349,17.6,28.8,8.5,1016.6,59,1.3,1.1,211.45833333333331,9.4
350,18.4,28.8,11.7,1014.9,58,1.4,3.7,215.5,9.4
351,17.2,27.8,9.8,1014.1,64,1.0,2.0,223.375,11.1
352,16.4,26.6,8.0,1015.0,57,1.3,2.6,135.58333333333334,14.8
353,17.4,26.7,9.0,1011.2,55,1.4,6.3,152.04166666666666,14.8
